PODATE,POTYPE,WP,CUSTNAME,PONO,ITEMNO,MATNO,MATNAME,POQTY,DELIVERYDATE,DEVERYQTY,Delivery Status
2021.02.15,OR30,DB20,?滉父?办梾,1739152,100,1000886,ILBAN B 72 INCH ??20,2021.02.15,20,?╉拡?勲,
2021.02.15,OR10,DB10,氚橂弰?侅偓,1739191,50,1000886,ILBAN B 72 INCH ??20,2021.02.15,20,?╉拡?勲,
2021.02.15,OR10,DB20,(欤?臁办澕?侁车,1739309,20,1000886,ILBAN B 72 INCH ??5,2021.02.15,5,?╉拡?勲,
2021.02.15,OR30,DB20,?胳檿?办梾,1739311,50,1000886,ILBAN B 72 INCH ??20,2021.02.15,20,?╉拡?勲,
2021.02.15,OR10,DB20,(欤?臁办澕?侁车,1739409,20,1000886,ILBAN B 72 INCH ??5,2021.02.15,5,?╉拡?勲,
2021.02.15,OR10,DB10,?膘毎?侅偓,1739498,140,1000886,ILBAN B 72 INCH ??10,2021.02.15,10,?╉拡?勲,
2021.02.15,OR10,DB20,?レ??1739502,60,1000886,ILBAN B 72 INCH ??5,2021.02.15,5,?╉拡?勲,,
2021.02.15,EX20,UB10,?犽媹?波??1739627,30,1000886,ILBAN B 72 INCH ??30,2021.02.15,30,?╉拡?勲,,
2021.02.16,OR10,DB10,?膘毎?侅偓,1739853,80,1000886,ILBAN B 72 INCH ??20,2021.02.16,20,?╉拡?勲,
2021.02.16,OR10,DB40,?欖澕氩姼??1740012,40,1000886,ILBAN B 72 INCH ??10,2021.02.16,10,?╉拡?勲,,
2021.02.16,OR10,DB40,???欖澕,1740014,60,1000886,ILBAN B 72 INCH ??2,2021.02.16,2,?╉拡?勲,
2021.02.16,OR10,DB10,欤检嫕?岇偓 ?欖澕氩姼,1740015,10,1000886,ILBAN B 72 INCH ??15,2021.02.16,15,?╉拡?勲,
2021.02.16,OR10,DB10,?欖澕氩姼?侅偓,1740057,180,1000886,ILBAN B 72 INCH ??20,2021.02.16,20,?╉拡?勲,
2021.02.16,OR10,DB40,?欖澕?奠儊,1740075,90,1000886,ILBAN B 72 INCH ??3,2021.02.16,3,?╉拡?勲,
2021.02.16,OR10,DB40,?欖澕氩姼??1740076,170,1000886,ILBAN B 72 INCH ??40,2021.02.16,40,?╉拡?勲,,
2021.02.16,OR10,DB20,?レ??1740140,80,1000886,ILBAN B 72 INCH ??3,2021.02.16,3,?╉拡?勲,,
2021.02.16,OR10,DB20,?滍暅?燫&B,1740149,10,1000886,ILBAN B 72 INCH ??10,2021.02.16,10,?╉拡?勲,
2021.02.17,OR10,DB40,?欖澕膦呿暕?岉伂,1740325,20,1000886,ILBAN B 72 INCH ??6,2021.02.17,6,?╉拡?勲,
2021.02.17,OR10,DB20,?欖澕?轨垬瓿犽氩姼,1740338,180,1000886,ILBAN B 72 INCH ??20,2021.02.17,20,?╉拡?勲,
2021.02.17,OR10,DB10,?膘毎?侅偓,1740366,90,1000886,ILBAN B 72 INCH ??20,2021.02.17,20,?╉拡?勲,
2021.02.17,OR10,DB20,欤检嫕?岇偓 ?欖澕?鸽崝?ろ姼毽?1740486,10,1000886,ILBAN B 72 INCH ??4,2021.02.17,4,?╉拡?勲,,
